VenueCategory
Bakery
BBQ Joint
Bagel Shop
Bakery
Breakfast Spot
Burger Joint
Burrito Place
Café
Deli / Bodega
Diner
Donut Shop
Food
Food Court
Food Truck
Fried Chicken Joint
Gastropub
Hot Dog Joint
Irish Pub
Juice Bar
Noodle House
Pizza Place
Poke Place
Pub
Sandwich Place
Snack Place
Sports Bar
Steakhouse
Taco Place
